District,Confirmed,Recovered,,,,,,,
Ahmednagar,7440,3260,4094,86,0,533,264,264,5
Akola,2815,515,2172,127,1,74,-3,76,1
Amravati,2557,815,1665,77,0,141,123,11,7
Aurangabad,15218,4545,10143,530,0,271,-129,393,7
Beed,1187,783,379,25,0,109,57,52,0
Bhandara,318,90,226,2,0,53,31,22,0
Buldhana,1663,693,924,46,0,82,25,54,3
Chandrapur,642,321,320,1,0,69,47,22,0
Dhule,3470,1098,2255,115,2,186,121,63,2
Gadchiroli,360,100,259,1,0,13,13,0,0
Gondia,467,213,251,3,0,23,19,4,0
Hingoli,689,223,451,15,0,14,10,4,0
Jalgaon,13031,3505,8951,575,0,480,111,356,13
Jalna,2087,455,1553,79,0,66,46,20,0
Kolhapur,7651,4644,2817,190,0,564,465,86,13
Latur,2962,1448,1386,128,0,212,118,88,6
Mumbai,120150,20546,92659,6648,297,910,-133,986,57
Mumbai Suburban,0,0,0,0,0,0,0,0,0
Nagpur,6950,4588,2192,169,1,538,503,17,18
Nanded,2618,1578,944,96,0,115,89,21,5
Nandurbar,727,202,482,43,0,49,31,17,1
Nashik,18054,6037,11496,521,0,815,194,608,13
Osmanabad,1729,1015,655,59,0,116,50,66,0
Other State,471,418,0,53,0,15,15,0,0
Palghar,17378,6309,10683,386,0,262,76,176,10
Parbhani,817,371,414,32,0,32,3,22,7
Pune,104353,41000,60857,2496,0,3091,1615,1414,62
Raigad,18875,4580,13835,458,2,429,-109,533,5
Ratnagiri,1995,607,1319,69,0,57,21,35,1
Sangli,3934,2383,1445,106,0,329,212,112,5
Satara,5014,1858,2998,157,1,205,-14,217,2
Sindhudurg,433,116,310,7,0,5,-7,12,0
Solapur,10565,4141,5867,556,1,272,-125,382,15
Thane,100875,27012,70983,2879,1,1312,-3394,4650,56
Wardha,252,89,154,8,1,5,3,2,0
Washim,780,273,490,17,0,23,-4,27,0
Yavatmal,1252,474,746,32,0,44,0,42,2
